key_resp.keys,key_resp.corr,present_segment.thisRepN,present_segment.thisTrialN,present_segment.thisN,present_segment.thisIndex,present_segment.ran,pictures,answer,clock,segment,participant,key_resp.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,compare_segment.thisRepN,compare_segment.thisTrialN,compare_segment.thisN,compare_segment.thisIndex,compare_segment.ran,item_a,item_b,clock_conditions.thisRepN,clock_conditions.thisTrialN,clock_conditions.thisN,clock_conditions.thisIndex,clock_conditions.ran,present,compare
1.0,1.0,0.0,11.0,11.0,11.0,1.0,popcorn_09s.jpg,1.0,Green.png,2.0,62,1.675,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,12.0,12.0,12.0,1.0,lollipop_08s.jpg,0.0,Blue.png,3.0,62,1.131,,,,,,,,,,,,,,,,,
1.0,1.0,0.0,13.0,13.0,13.0,1.0,popcorn_09s.jpg,1.0,Purple.png,3.0,62,1.282,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,14.0,14.0,14.0,1.0,fire_pit_10s.jpg,0.0,Red.png,3.0,62,1.136,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,15.0,15.0,15.0,1.0,joystick_01b.jpg,0.0,Orange.png,3.0,62,0.69,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,16.0,16.0,16.0,1.0,panda_02s.jpg,0.0,Yellow.png,3.0,62,0.575,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,17.0,17.0,17.0,1.0,sundae_08s.jpg,0.0,Green.png,3.0,62,0.674,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,18.0,18.0,18.0,1.0,boomerang_06s.jpg,0.0,Blue.png,4.0,62,0.601,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,19.0,19.0,19.0,1.0,bagel_15s.jpg,0.0,Purple.png,4.0,62,0.578,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,20.0,20.0,20.0,1.0,powder_07s.jpg,0.0,Red.png,4.0,62,0.602,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,21.0,21.0,21.0,1.0,lipstick_02s.jpg,0.0,Orange.png,4.0,62,0.593,,,,,,,,,,,,,,,,,
1.0,0.0,0.0,22.0,22.0,22.0,1.0,bagel_15s.jpg,0.0,Yellow.png,4.0,62,1.428,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,23.0,23.0,23.0,1.0,ladle_04s.jpg,0.0,Green.png,4.0,62,1.312,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,24.0,24.0,24.0,1.0,megaphone_03s.jpg,0.0,Blue.png,5.0,62,0.608,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,25.0,25.0,25.0,1.0,puck_06s.jpg,0.0,Purple.png,5.0,62,0.64,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,26.0,26.0,26.0,1.0,cardinal_07s.jpg,0.0,Red.png,5.0,62,0.61,,,,,,,,,,,,,,,,,
1.0,1.0,0.0,27.0,27.0,27.0,1.0,puck_06s.jpg,1.0,Orange.png,5.0,62,1.484,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,28.0,28.0,28.0,1.0,bee_20s.jpg,0.0,Yellow.png,5.0,62,1.2,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,29.0,29.0,29.0,1.0,toilet_paper_12s.jpg,0.0,Green.png,5.0,62,0.69,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,30.0,30.0,30.0,1.0,mud_13s.jpg,0.0,Blue.png,6.0,62,0.619,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,31.0,31.0,31.0,1.0,measuring_cup_02s.jpg,0.0,Purple.png,6.0,62,0.608,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,32.0,32.0,32.0,1.0,ostrich_06s.jpg,0.0,Red.png,6.0,62,0.663,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,33.0,33.0,33.0,1.0,raspberry_12s.jpg,0.0,Orange.png,6.0,62,0.689,,,,,,,,,,,,,,,,,
1.0,0.0,0.0,34.0,34.0,34.0,1.0,mud_13s.jpg,0.0,Yellow.png,6.0,62,1.282,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,35.0,35.0,35.0,1.0,radiator_05s.jpg,0.0,Green.png,6.0,62,1.163,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,62,,1.0,0.0,1.837,0.0,0.0,0.0,0.0,1.0,measuring_cup_02s.jpg,bee_20s.jpg,,,,,,,
,,,,,,,,1.0,,,62,,0.0,0.0,1.89,0.0,1.0,1.0,1.0,1.0,lipstick_02s.jpg,megaphone_03s.jpg,,,,,,,
,,,,,,,,0.0,,,62,,0.0,1.0,1.991,0.0,2.0,2.0,2.0,1.0,boomerang_06s.jpg,joystick_01b.jpg,,,,,,,
,,,,,,,,0.0,,,62,,1.0,0.0,2.173,0.0,3.0,3.0,3.0,1.0,sundae_08s.jpg,fire_pit_10s.jpg,,,,,,,
,,,,,,,,0.0,,,62,,0.0,1.0,1.641,0.0,4.0,4.0,4.0,1.0,radiator_05s.jpg,ostrich_06s.jpg,,,,,,,
,,,,,,,,0.0,,,62,,1.0,0.0,2.046,0.0,5.0,5.0,5.0,1.0,ladle_04s.jpg,powder_07s.jpg,,,,,,,
,,,,,,,,,,,62,,,,,,,,,,,,0.0,2.0,2.0,2.0,1.0,new2backpresent_3_2.xlsx,new2back_compare_task_3_2.xlsx
0.0,1.0,0.0,0.0,0.0,0.0,1.0,glasses01a.jpg,0.0,Blue.png,1.0,62,1.734,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,1.0,1.0,1.0,1.0,piano_13n.jpg,0.0,Purple.png,1.0,62,0.669,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,2.0,2.0,2.0,1.0,candy_cane_06s.jpg,0.0,Red.png,1.0,62,0.509,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,3.0,3.0,3.0,1.0,cushion_08s.jpg,0.0,Orange.png,1.0,62,0.555,,,,,,,,,,,,,,,,,
1.0,1.0,0.0,4.0,4.0,4.0,1.0,candy_cane_06s.jpg,1.0,Yellow.png,1.0,62,1.283,,,,,,,,,,,,,,,,,
1.0,0.0,0.0,5.0,5.0,5.0,1.0,candy_cane_06s.jpg,0.0,Green.png,1.0,62,1.176,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,6.0,6.0,6.0,1.0,rosary_03s.jpg,0.0,Blue.png,2.0,62,0.705,,,,,,,,,,,,,,,,,
1.0,0.0,0.0,7.0,7.0,7.0,1.0,rosary_03s.jpg,0.0,Purple.png,2.0,62,1.37,,,,,,,,,,,,,,,,,
1.0,1.0,0.0,8.0,8.0,8.0,1.0,rosary_03s.jpg,1.0,Red.png,2.0,62,1.113,,,,,,,,,,,,,,,,,
1.0,1.0,0.0,9.0,9.0,9.0,1.0,rosary_03s.jpg,1.0,Orange.png,2.0,62,1.145,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,10.0,10.0,10.0,1.0,kangaroo_02s.jpg,0.0,Yellow.png,2.0,62,1.263,,,,,,,,,,,,,,,,,
1.0,0.0,0.0,11.0,11.0,11.0,1.0,kangaroo_02s.jpg,0.0,Green.png,2.0,62,1.172,,,,,,,,,,,,,,,,,
1.0,1.0,0.0,12.0,12.0,12.0,1.0,kangaroo_02s.jpg,1.0,Blue.png,3.0,62,1.358,,,,,,,,,,,,,,,,,
1.0,1.0,0.0,13.0,13.0,13.0,1.0,kangaroo_02s.jpg,1.0,Purple.png,3.0,62,1.039,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,14.0,14.0,14.0,1.0,ironing_board_07s.jpg,0.0,Red.png,3.0,62,0.723,,,,,,,,,,,,,,,,,
1.0,1.0,0.0,15.0,15.0,15.0,1.0,kangaroo_02s.jpg,1.0,Orange.png,3.0,62,0.834,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,16.0,16.0,16.0,1.0,punch2_09s.jpg,0.0,Yellow.png,3.0,62,0.751,,,,,,,,,,,,,,,,,
1.0,0.0,0.0,17.0,17.0,17.0,1.0,ironing_board_07s.jpg,0.0,Green.png,3.0,62,0.748,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,18.0,18.0,18.0,1.0,owl_15s.jpg,0.0,Blue.png,4.0,62,0.739,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,19.0,19.0,19.0,1.0,teabag_12s.jpg,0.0,Purple.png,4.0,62,0.69,,,,,,,,,,,,,,,,,
1.0,1.0,0.0,20.0,20.0,20.0,1.0,owl_15s.jpg,1.0,Red.png,4.0,62,0.624,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,21.0,21.0,21.0,1.0,otter_05s.jpg,0.0,Orange.png,4.0,62,0.758,,,,,,,,,,,,,,,,,
1.0,1.0,0.0,22.0,22.0,22.0,1.0,owl_15s.jpg,1.0,Yellow.png,4.0,62,0.671,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,23.0,23.0,23.0,1.0,mold2_04s.jpg,0.0,Green.png,4.0,62,0.791,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,24.0,24.0,24.0,1.0,mattress_01s.jpg,0.0,Blue.png,5.0,62,0.907,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,25.0,25.0,25.0,1.0,police_car_01s.jpg,0.0,Purple.png,5.0,62,0.754,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,26.0,26.0,26.0,1.0,stethoscope_01b.jpg,0.0,Red.png,5.0,62,0.767,,,,,,,,,,,,,,,,,
1.0,1.0,0.0,27.0,27.0,27.0,1.0,police_car_01s.jpg,1.0,Orange.png,5.0,62,0.986,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,28.0,28.0,28.0,1.0,sparkler_02s.jpg,0.0,Yellow.png,5.0,62,0.753,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,29.0,29.0,29.0,1.0,pacifier_09s.jpg,0.0,Green.png,5.0,62,0.776,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,30.0,30.0,30.0,1.0,machine_gun_09s.jpg,0.0,Blue.png,6.0,62,0.765,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,31.0,31.0,31.0,1.0,ram_05s.jpg,0.0,Purple.png,6.0,62,0.752,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,32.0,32.0,32.0,1.0,keyboard_05s.jpg,0.0,Red.png,6.0,62,0.583,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,33.0,33.0,33.0,1.0,leash_10s.jpg,0.0,Orange.png,6.0,62,0.668,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,34.0,34.0,34.0,1.0,pan_02s.jpg,0.0,Yellow.png,6.0,62,0.833,,,,,,,,,,,,,,,,,
0.0,1.0,0.0,35.0,35.0,35.0,1.0,mixer_12s.jpg,0.0,Green.png,6.0,62,0.769,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,62,,1.0,0.0,3.074,0.0,0.0,0.0,0.0,1.0,teabag_12s.jpg,punch2_09s.jpg,,,,,,,
,,,,,,,,0.0,,,62,,1.0,0.0,1.435,0.0,1.0,1.0,1.0,1.0,mattress_01s.jpg,otter_05s.jpg,,,,,,,
