,subject,noclock_within,noclock_between,clock_within,clock_between,noclock_within_RT,noclock_between_RT,clock_within_RT,clock_between_RT
54,sub-65,0.7222222222222222,0.4444444444444444,0.6111111111111112,0.5,3.038388076923077,2.654010625,2.237800454545454,3.911992222222222
55,sub-66,0.5555555555555556,0.5,0.7222222222222222,0.5555555555555556,1.6234795000000002,1.4681388888888887,1.561431153846154,2.2517495
56,sub-68,0.6666666666666666,0.5555555555555556,0.6111111111111112,0.6666666666666666,1.4755,1.55869,1.5372363636363637,1.5455916666666667
57,sub-69,0.6111111111111112,0.5555555555555556,0.5,0.5555555555555556,1.3717272727272727,1.5334,1.2664444444444445,1.4556
58,sub-6,0.5,0.4444444444444444,0.6111111111111112,0.3888888888888889,1.6317877777777778,1.7689781249999998,0.8828222727272728,0.9538842857142856
59,sub-70,0.8888888888888888,0.6666666666666666,0.6666666666666666,0.3888888888888889,2.8374809375,3.8557445833333333,1.8452637499999998,2.4379214285714284
60,sub-72,0.6666666666666666,0.5555555555555556,0.6111111111111112,0.2777777777777778,1.8397841666666663,2.2126949999999996,2.0315095454545453,2.7357950000000004
61,sub-73,0.5,0.5,0.5,0.3888888888888889,1.081777777777778,1.1237777777777778,1.144111111111111,1.4448571428571426
62,sub-74,0.5,0.5555555555555556,0.4444444444444444,0.3888888888888889,1.3626044444444445,1.457847,1.46974625,1.7866392857142859
63,sub-75,0.7222222222222222,0.5,0.2777777777777778,0.4444444444444444,1.2862253846153848,1.4344127777777778,1.035596,1.0396762499999999
64,sub-76,0.6666666666666666,0.4444444444444444,0.4444444444444444,0.5555555555555556,1.4658087499999999,1.4818262500000001,2.1629837500000004,2.1146035000000003
65,sub-77,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.8888888888888888,1.941,3.30075,2.3984705882352944,3.0193124999999994
66,sub-78,0.5555555555555556,0.5,0.6111111111111112,0.4444444444444444,2.5313999999999997,2.420111111111111,4.069454545454547,4.7928749999999996
67,sub-79,0.9444444444444444,0.7777777777777778,0.8888888888888888,0.6111111111111112,4.288888823529412,6.488937857142858,1.7322868750000002,3.3986754545454545
68,sub-7,0.6111111111111112,0.4444444444444444,0.5,0.7777777777777778,1.8033259090909093,2.6110425,1.5771388888888886,2.336583571428572
69,sub-8,0.6111111111111112,0.5,0.5555555555555556,0.6666666666666666,1.4736363636363636,1.785444444444444,1.5829,1.6627499999999997
70,sub-9,0.6111111111111112,0.5555555555555556,0.5555555555555556,0.6111111111111112,1.3785754545454545,1.6310570000000002,1.509336,2.0734045454545456
